And;We;gave;Moses;the;Book;and;followed;him;up;with;a;succession;of;messengers;We;gave;Jesus;the;son;of;Mary;clear;signs;and;strengthened;him;with;the;Holy;Spirit;Is;it;that;whenever;there;comes;to;you;a;messenger;with;what;you;yourselves;desire;not;you;are;puffed;up;with;pride?;Some;you;called;impostors;and;others;you;slay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Those;messengers;We;endowed;with;gifts;some;above;others;To;one;of;them;Allah;spoke;others;He;raised;to;degrees;of;honor;to;Jesus;the;son;of;Mary;We;gave;clear;signs;and;strengthened;him;with;the;Holy;Spirit;If;Allah;had;so;willed;succeeding;generations;would;not;have;fought;among;each;other;after;clear;signs;had;come;to;them;but;they;chose;to;wrangle;some;believing;and;others;rejecting;If;Allah;had;so;willed;they;would;not;have;fought;each;other;but;Allah;does;what;He;wills;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
But;when;she;delivered;her;she;said;O;my;Lord;I;have;delivered;a;female;child;;and;Allah;knew;best;what;she;brought;forth;;And;no;wise;is;the;male;like;the;female;I;have;named;her;Mary;and;I;commend;her;and;her;offspring;to;Thy;protection;from;the;Evil;One;the;Rejected;Right;graciously;did;her;Lord;accept;her;He;made;her;grow;in;purity;and;beauty;To;the;care;of;Zakariya;was;she;assigned;Every;time;that;he;entered;her;chamber;to;see;her;he;found;her;supplied;with;sustenance;He;said;O;Mary;Whence;comes;this;to;you?;She;said;From;Allah;for;Allah;provides;sustenance;to;whom;He;pleases;without;measure;;;;;;;;;;;;;;;;;;;;;
Behold;the;angels;said;O;Mary;Allah;hath;chosen;thee;and;purified;thee;;chosen;thee;above;the;women;of;all;nations;O;Mary;worship;Thy;Lord;devoutly;Prostrate;thyself;and;bow;down;in;prayer;with;those;who;bow;down;This;is;part;of;the;tidings;of;the;things;unseen;which;We;reveal;unto;thee;O;Messenger;by;inspiration;Thou;wast;not;with;them;when;they;cast;lots;with;arrows;as;to;which;of;them;should;be;charged;with;the;care;of;Mary;Nor;wast;thou;with;them;when;they;disputed;the;point;Behold;the;angels;said;O;Mary;Allah;giveth;thee;glad;tidings;of;a;Word;from;Him;his;name;will;be;Christ;Jesus;the;son;of;Mary;held;in;honor;in;this;world;and;the;Hereafter;and;of;the;company;of;those;nearest;to;Allah;;
That;they;rejected;Faith;that;they;uttered;against;Mary;a;grave;charge;That;they;said;in;boast;We;killed;Christ;Jesus;the;son;of;Mary;the;Messenger;of;Allah;;but;they;killed;him;not;nor;crucified;him;but;so;it;was;made;to;appear;to;them;and;those;who;differ;therein;are;full;of;doubts;with;no;certain;knowledge;but;only;conjecture;to;follow;for;of;a;surety;they;killed;him;not;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;People;of;the;Book;Commit;no;excesses;in;your;religion;Nor;say;of;Allah;aught;but;the;truth;Christ;Jesus;the;son;of;Mary;was;no;more;than;a;messenger;of;Allah;and;His;Word;which;He;bestowed;on;Mary;and;a;spirit;proceeding;from;Him;so;believe;in;Allah;and;His;messengers;Say;not;Trinity;desist;it;will;be;better;for;you;for;Allah;is;one;Allah;Glory;be;to;Him;far;exalted;is;He;above;having;a;son;To;Him;belong;all;things;in;the;heavens;and;on;earth;And;enough;is;Allah;as;a;Disposer;of;affairs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
In;blasphemy;indeed;are;those;that;say;that;Allah;is;Christ;the;son;of;Mary;Say;Who;then;hath;the;least;power;against;Allah;if;His;will;were;to;destroy;Christ;the;son;of;Mary;his;mother;and;all;every;one;that;is;on;the;earth?;For;to;Allah;belongeth;the;dominion;of;the;heavens;and;the;earth;and;all;that;is;between;He;createth;what;He;pleaseth;For;Allah;hath;power;over;all;things;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
And;in;their;footsteps;We;sent;Jesus;the;son;of;Mary;confirming;the;Law;that;had;come;before;him;We;sent;him;the;Gospel;therein;was;guidance;and;light;and;confirmation;of;the;Law;that;had;come;before;him;a;guidance;and;an;admonition;to;those;who;fear;Allah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
They;do;blaspheme;who;say;Allah;is;Christ;the;son;of;Mary;But;said;Christ;O;Children;of;Israel;worship;Allah;my;Lord;and;your;Lord;Whoever;joins;other;gods;with;Allah;;Allah;will;forbid;him;the;garden;and;the;Fire;will;be;his;abode;There;will;for;the;wrongdoers;be;no;one;to;help;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christ;the;son;of;Mary;was;no;more;than;a;messenger;many;were;the;messengers;that;passed;away;before;him;His;mother;was;a;woman;of;truth;They;had;both;to;eat;their;daily;food;See;how;Allah;doth;make;His;signs;clear;to;them;yet;see;in;what;ways;they;are;deluded;away;from;the;truth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curses;were;pronounced;on;those;among;the;Children;of;Israel;who;rejected;Faith;by;the;tongue;of;David;and;of;Jesus;the;son;of;Mary;because;they;disobeyed;and;persisted;in;excesses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Then;will;Allah;say;O;Jesus;the;son;of;Mary;Recount;My;favor;to;thee;and;to;thy;mother;Behold;I;strengthened;thee;with;the;holy;spirit;so;that;thou;didst;speak;to;the;people;in;childhood;and;in;maturity;Behold;I;taught;thee;the;Book;and;Wisdom;the;Law;and;the;Gospel;And;behold;thou;makest;out;of;clay;as;it;were;the;figure;of;a;bird;by;My;leave;and;thou;breathest;into;it;and;it;becometh;a;bird;by;My;leave;and;thou;healest;those;born;blind;and;the;lepers;by;My;leave;And;behold;thou;bringest;forth;the;dead;by;My;leave;And;behold;I;did;restrain;the;Children;of;Israel;from;violence;to;thee;when;thou;didst;show;them;the;clear;signs;and;the;unbelievers;among;them;said;This;is;nothing;but;evident;magic
Behold;the;disciples;said;O;Jesus;the;son;of;Mary;can;thy;Lord;send;down;to;us;a;table;set;with;viands;from;heaven;Said;Jesus;Fear;Allah;if;ye;have;faith;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Said;Jesus;the;son;of;Mary;O;Allah;our;Lord;Send;us;from;heaven;a;table;set;with;viands;that;there;may;be;for;us;;for;the;first;and;the;last;of;us;;a;solemn;festival;and;a;sign;from;Thee;and;provide;for;our;sustenance;for;Thou;art;the;best;Sustainer;of;our;needs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
And;behold;Allah;will;say;O;Jesus;the;son;of;Mary;Didst;thou;say;unto;men;worship;me;and;my;mother;as;gods;in;derogation;of;Allah?;He;will;say;Glory;to;Thee;never;could;I;say;what;I;had;no;right;to;say;Had;I;said;such;a;thing;Thou;wouldst;indeed;have;known;it;Thou;knowest;what;is;in;my;heart;though;I;know;not;what;is;in;Thine;For;Thou;knowest;in;full;all;that;is;hidden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
They;take;their;priests;and;their;anchorites;to;be;their;lords;in;derogation;of;Allah;and;they;take;as;their;Lord;Christ;the;son;of;Mary;yet;they;were;commanded;to;worship;but;One;Allah;there;is;no;god;but;He;Praise;and;glory;to;Him;Far;is;He;from;having;the;partners;they;associate;with;Him;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Relate;in;the;Book;the;story;of;Mary;when;she;withdrew;from;her;family;to;a;place;in;the;East;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
At;length;she;brought;the;babe;to;her;people;carrying;him;in;her;arms;They;said;O;Mary;truly;an;amazing;thing;hast;thou;brought;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Such;was;Jesus;the;son;of;Mary;it;is;a;statement;of;truth;about;which;they;vainly;dispute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
